epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.512,1.17584,0.88384,0.88656,0.83931,0.72295,0.74005,0.48701,0.97904,0.5186,0.8287,0.000474428,0.000474428,0.000474428
2,589.947,1.04798,0.58107,0.85505,0.81232,0.74836,0.76371,0.52062,0.94853,0.48955,0.82599,0.000903699,0.000903699,0.000903699
3,882.503,1.01635,0.55025,0.84935,0.77058,0.71775,0.72806,0.48206,0.95617,0.51901,0.82655,0.00128581,0.00128581,0.00128581
4,1174.15,0.96497,0.52169,0.84337,0.83945,0.73252,0.76171,0.50133,1.01994,0.47704,0.8289,0.00121679,0.00121679,0.00121679
5,1465.51,0.94618,0.49657,0.83971,0.82421,0.77442,0.77901,0.52591,0.89234,0.45512,0.82159,0.00114606,0.00114606,0.00114606
6,1757.52,0.92152,0.47954,0.83642,0.84063,0.77694,0.77945,0.53458,0.84259,0.43362,0.81286,0.00107532,0.00107532,0.00107532
7,2049.08,0.90252,0.47398,0.83468,0.8495,0.76308,0.78488,0.54861,0.86685,0.43131,0.81483,0.00100459,0.00100459,0.00100459
8,2340.11,0.88035,0.45817,0.8335,0.85411,0.77596,0.78704,0.5368,0.86237,0.43223,0.81371,0.000933851,0.000933851,0.000933851
9,2630.88,0.86716,0.44712,0.82848,0.83446,0.77279,0.77626,0.53655,0.82675,0.40647,0.80983,0.000863116,0.000863116,0.000863116
10,2922.04,0.84772,0.42978,0.82611,0.86386,0.77779,0.79177,0.55205,0.83005,0.40326,0.81077,0.00079238,0.00079238,0.00079238
11,3211.97,0.84201,0.42853,0.82704,0.84223,0.78161,0.78828,0.55119,0.80556,0.39926,0.80942,0.000721645,0.000721645,0.000721645
12,3501.7,0.81656,0.41449,0.82063,0.84846,0.78106,0.79055,0.56973,0.7903,0.39298,0.80668,0.000650909,0.000650909,0.000650909
13,3791.57,0.80822,0.40462,0.82002,0.85422,0.79509,0.80569,0.58235,0.75257,0.37292,0.80334,0.000580174,0.000580174,0.000580174
14,4082.01,0.79255,0.39758,0.81835,0.87731,0.8036,0.81898,0.59094,0.763,0.36536,0.80377,0.000509438,0.000509438,0.000509438
15,4371.66,0.77465,0.38271,0.81221,0.86657,0.78782,0.79892,0.58549,0.7342,0.35731,0.80152,0.000438703,0.000438703,0.000438703
16,4659.92,0.7588,0.3755,0.81211,0.87738,0.79126,0.81261,0.5928,0.7426,0.3529,0.80105,0.000367967,0.000367967,0.000367967
17,4949.05,0.74565,0.36685,0.81235,0.88842,0.79806,0.82107,0.6011,0.71839,0.34106,0.80018,0.000297232,0.000297232,0.000297232
18,5237.74,0.73446,0.35608,0.81058,0.88827,0.80295,0.82635,0.6068,0.71778,0.33371,0.79938,0.000226497,0.000226497,0.000226497
19,5527.28,0.72348,0.3471,0.80782,0.8798,0.80513,0.82106,0.60742,0.71629,0.32916,0.79921,0.000155761,0.000155761,0.000155761
20,5816.25,0.70977,0.33617,0.80765,0.89033,0.81375,0.82674,0.61426,0.68914,0.31526,0.79686,8.50255e-05,8.50255e-05,8.50255e-05
