epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.74,1.00208,0.82986,0.91155,0.96527,0.96337,0.97743,0.76416,0.80661,0.44179,0.85005,0.000474428,0.000474428,0.000474428
2,677.625,0.89457,0.50942,0.87336,0.97524,0.97639,0.99137,0.78864,0.7631,0.4585,0.83645,0.000903699,0.000903699,0.000903699
3,1013.72,0.83889,0.48044,0.86387,0.98028,0.9765,0.9913,0.77977,0.81136,0.40204,0.84868,0.00128581,0.00128581,0.00128581
4,1348.18,0.80478,0.4555,0.8572,0.97435,0.97115,0.98948,0.80419,0.71233,0.38983,0.8276,0.00121679,0.00121679,0.00121679
5,1683.56,0.77398,0.43056,0.85251,0.98027,0.97805,0.99207,0.82355,0.67686,0.35382,0.82269,0.00114606,0.00114606,0.00114606
6,2018.66,0.76578,0.42475,0.85119,0.98236,0.98417,0.99282,0.82154,0.67088,0.34763,0.8203,0.00107532,0.00107532,0.00107532
7,2354.86,0.74743,0.41221,0.8498,0.98397,0.98525,0.99314,0.81852,0.69399,0.34149,0.82437,0.00100459,0.00100459,0.00100459
8,2690.25,0.73528,0.39992,0.84622,0.98506,0.98421,0.99256,0.83863,0.6223,0.32528,0.8124,0.000933851,0.000933851,0.000933851
9,3025.77,0.71832,0.38848,0.84165,0.98648,0.98613,0.99347,0.84169,0.63539,0.31974,0.81407,0.000863116,0.000863116,0.000863116
10,3361.11,0.71145,0.38167,0.84162,0.98741,0.98811,0.99378,0.84808,0.62149,0.30018,0.81194,0.00079238,0.00079238,0.00079238
11,3694.06,0.6922,0.35549,0.84052,0.98637,0.98424,0.99297,0.84181,0.63094,0.31235,0.81291,0.000721645,0.000721645,0.000721645
12,4026.96,0.66996,0.34841,0.83622,0.98939,0.98928,0.99394,0.84683,0.62113,0.29912,0.81238,0.000650909,0.000650909,0.000650909
13,4359.83,0.65689,0.33306,0.833,0.98939,0.98754,0.99391,0.84879,0.61789,0.29525,0.81022,0.000580174,0.000580174,0.000580174
14,4693.02,0.65582,0.32905,0.83406,0.98983,0.98874,0.99395,0.85209,0.61373,0.29175,0.81013,0.000509438,0.000509438,0.000509438
15,5026.03,0.64165,0.31785,0.82971,0.98888,0.98685,0.99394,0.85375,0.60581,0.28555,0.8089,0.000438703,0.000438703,0.000438703
16,5359.53,0.63079,0.31227,0.82815,0.98928,0.98745,0.99414,0.85346,0.60611,0.28243,0.80657,0.000367967,0.000367967,0.000367967
17,5691.57,0.62436,0.30326,0.82769,0.99274,0.99056,0.99433,0.8602,0.5883,0.27114,0.80544,0.000297232,0.000297232,0.000297232
18,6024.65,0.6135,0.29455,0.82654,0.99235,0.9904,0.99436,0.86686,0.57488,0.25948,0.8044,0.000226497,0.000226497,0.000226497
19,6357.6,0.6063,0.29008,0.82423,0.99159,0.99025,0.9942,0.87167,0.56343,0.25261,0.80282,0.000155761,0.000155761,0.000155761
20,6690.95,0.59794,0.28409,0.82303,0.99266,0.99171,0.99445,0.87406,0.55722,0.24672,0.80138,8.50255e-05,8.50255e-05,8.50255e-05
