epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.036,1.18537,1.03071,1.06656,0.93301,0.8796,0.93571,0.67727,0.93836,0.60041,0.98526,0.000474428,0.000474428,0.000474428
2,685.98,1.0612,0.67969,1.00374,0.92466,0.87619,0.93643,0.66962,1.00648,0.59976,0.99382,0.000903699,0.000903699,0.000903699
3,1026.62,1.03053,0.64939,0.99239,0.94463,0.88997,0.94887,0.68906,0.97419,0.55419,0.99126,0.00128581,0.00128581,0.00128581
4,1366.11,1.00872,0.63026,0.98482,0.93992,0.88665,0.95088,0.72399,0.85947,0.5347,0.96276,0.00121679,0.00121679,0.00121679
5,1705.67,0.9751,0.60021,0.97233,0.95174,0.91171,0.95807,0.73239,0.85771,0.50033,0.95611,0.00114606,0.00114606,0.00114606
6,2046.24,0.95172,0.58554,0.96785,0.94954,0.89906,0.95551,0.73181,0.85264,0.49365,0.95123,0.00107532,0.00107532,0.00107532
7,2385.87,0.93634,0.56835,0.96236,0.95309,0.90942,0.95882,0.74521,0.83134,0.47313,0.94085,0.00100459,0.00100459,0.00100459
8,2725.84,0.91386,0.55616,0.95575,0.95453,0.9069,0.95801,0.73326,0.86636,0.47805,0.95661,0.000933851,0.000933851,0.000933851
9,3064.61,0.90393,0.54229,0.95019,0.95584,0.9172,0.96406,0.75721,0.81003,0.4478,0.93282,0.000863116,0.000863116,0.000863116
10,3403.87,0.8878,0.52922,0.94639,0.95965,0.92192,0.96565,0.7641,0.78792,0.44017,0.93111,0.00079238,0.00079238,0.00079238
11,3742,0.84946,0.50175,0.94765,0.96135,0.92053,0.96541,0.77045,0.76681,0.43502,0.92201,0.000721645,0.000721645,0.000721645
12,4080.53,0.83013,0.4853,0.94201,0.95531,0.92427,0.96639,0.776,0.74261,0.43153,0.91419,0.000650909,0.000650909,0.000650909
13,4417.44,0.8125,0.47322,0.93384,0.9613,0.92535,0.9682,0.77003,0.76803,0.42897,0.91539,0.000580174,0.000580174,0.000580174
14,4752.22,0.80821,0.4681,0.93189,0.95935,0.92593,0.96822,0.77278,0.7595,0.4235,0.91807,0.000509438,0.000509438,0.000509438
15,5088.88,0.78682,0.45377,0.92558,0.96431,0.92779,0.97128,0.78407,0.72648,0.40805,0.90836,0.000438703,0.000438703,0.000438703
16,5425.75,0.77305,0.44317,0.92239,0.96595,0.92973,0.9714,0.79272,0.71185,0.39687,0.90368,0.000367967,0.000367967,0.000367967
17,5763.08,0.75784,0.43537,0.91676,0.96761,0.93706,0.97304,0.80043,0.69319,0.3771,0.90088,0.000297232,0.000297232,0.000297232
18,6100.11,0.73698,0.42129,0.91408,0.9681,0.9338,0.97265,0.81012,0.66315,0.36776,0.89245,0.000226497,0.000226497,0.000226497
19,6433.31,0.72486,0.41483,0.90702,0.97016,0.93696,0.97367,0.81118,0.66631,0.3646,0.89168,0.000155761,0.000155761,0.000155761
20,6768.63,0.71264,0.40583,0.90615,0.97021,0.93737,0.97474,0.8177,0.64846,0.35604,0.8894,8.50255e-05,8.50255e-05,8.50255e-05
